Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
1,1,2,2,0,0,12,56,10,35,1.0,6.0,28.0,27,44.44,0,0,0,0,0,0,2,1,10,2015,2010,32.02465753,27.02465753
1,0,10,15,1,2,130,416,28,108,27.08,14.44,32.0,114,114.03,0,1,0,1,0,0,10,8,11,2008,2008,21.578082190000003,21.578082190000003
0,1,44,52,5,1,908,1481,71,163,33.29,23.28,29.03,843,107.71,0,5,4,3,0,7,46,27,11,2017,2019,18.92876712,20.92876712
1,0,24,32,4,2,370,1044,50,100,29.11,18.5,34.8,326,113.49,0,1,2,6,2,2,31,19,11,2011,2011,19.6630137,19.6630137
0,1,18,4,1,0,363,51,56,46,31.51,21.35,12.75,320,113.43,0,0,2,0,1,1,18,2,9,2013,2012,23.64657534,22.64657534
1,1,7,6,0,0,178,125,81,78,13.36,25.42,20.83,158,112.65,0,0,1,1,2,2,7,3,11,2011,2007,25.82739726,21.82739726
1,1,23,4,1,0,597,117,63,47,24.81,27.13,29.25,586,101.87,0,0,4,0,1,0,23,2,2,2024,2010,36.05205479,22.05205479
1,1,41,21,14,1,445,440,42,64,82.5,16.48,22.0,376,118.35,0,0,0,3,4,5,46,11,11,2017,2016,23.68767123,22.68767123
1,1,15,10,1,0,347,269,55,88,30.56,24.78,26.9,284,122.18,0,0,1,2,0,0,17,6,8,2006,2007,27.76986301,28.76986301
1,1,52,15,3,1,1392,537,79,103,44.5,28.4,38.35,1167,119.28,0,1,11,5,5,0,53,9,1,2021,2021,23.19726027,23.19726027
0,1,2,38,0,8,36,934,26,71,23.74,18.0,31.13,32,112.5,0,0,0,6,0,4,2,25,10,2002,2011,17.3890411,26.3890411
1,1,12,39,1,1,127,967,25,136,32.53,11.54,25.44,140,90.71,0,2,0,5,2,3,12,23,7,2006,2006,27.49041096,27.49041096
0,0,14,5,1,1,279,428,65,164,21.16,21.46,107.0,225,124.0,0,2,1,2,1,0,15,3,1,2022,2018,23.83013699,19.83013699
0,1,1,49,0,2,6,1535,6,160,35.91,6.0,32.65,8,75.0,0,3,0,7,0,6,1,26,3,2009,2014,20.67,25.67
1,1,3,4,1,0,22,61,20,42,27.57,11.0,15.25,35,62.85,0,0,0,0,1,0,3,2,7,2010,2010,31.76164384,31.76164384
0,0,1,3,0,0,0,6,0,4,5.42,0.0,2.0,1,0.0,0,0,0,0,1,0,7,3,10,2006,2010,17.59726027,21.59726027
1,1,1,9,0,1,0,339,0,134,31.5,0.0,42.37,1,0.0,0,1,0,2,1,1,1,5,10,2018,2021,18.72054795,21.72054795
1,0,144,14,11,0,3601,351,115,103,37.74,27.07,25.07,2675,134.61,1,1,23,1,13,1,145,7,4,2018,2009,27.904109589999997,18.904109589999997
1,1,2,35,1,6,33,1079,20,110,33.26,33.0,37.2,33,100.0,0,2,0,5,0,2,2,20,3,2016,2019,25.25753425,28.25753425
1,0,60,7,13,0,672,196,71,59,22.94,14.29,28.0,511,131.5,0,0,2,1,8,0,70,4,1,2020,2019,23.0,22.0
1,0,6,21,1,0,96,326,36,42,10.25,19.2,15.52,84,114.28,0,0,0,0,1,2,8,12,6,2019,2021,21.44109589,23.44109589
0,1,91,91,9,6,2584,3300,100,141,45.74,31.51,38.82,1868,138.32,1,6,16,22,7,7,92,54,6,2014,2012,21.61643836,19.61643836
1,0,19,141,12,15,184,3309,31,124,16.44,26.28,26.26,160,115.0,0,5,0,14,0,8,65,100,10,2011,2010,24.865753419999997,23.865753419999997
0,0,4,3,3,1,9,47,6,33,18.65,9.0,23.5,13,69.23,0,0,0,0,0,0,12,2,6,2010,2009,27.46849315,26.46849315
1,1,26,12,4,1,379,217,54,43,19.31,17.22,19.72,323,117.33,0,0,1,0,2,1,29,6,0,2013,2015,24.13150685,26.13150685
0,0,21,14,6,1,231,519,68,240,41.0,15.4,39.92,185,124.86,0,1,1,2,2,1,23,7,7,2021,2021,21.69589041,21.69589041
0,0,41,105,17,21,515,3036,46,175,32.42,21.45,36.14,405,127.16,0,4,0,20,3,7,74,72,10,2012,2009,23.64657534,20.64657534
0,0,2,14,0,1,46,298,27,62,10.2,23.0,22.92,41,112.19,0,0,0,3,0,1,3,8,5,2017,2022,26.21643836,31.21643836
0,1,3,8,0,1,43,165,19,42,8.5,14.33,23.57,38,113.15,0,0,0,0,0,0,3,4,6,2022,2024,26.04931507,28.04931507
1,1,151,101,19,10,4231,4137,121,212,49.12,32.05,45.46,3003,140.89,5,12,32,17,12,5,159,59,10,2013,2007,26.24657534,20.24657534
1,1,19,4,0,0,327,28,58,19,30.84,17.21,7.0,296,110.47,0,0,2,0,2,0,21,2,7,2012,2010,29.16986301,27.16986301
1,0,13,90,4,4,304,2265,67,137,26.1,33.77,26.33,240,126.66,0,5,2,11,2,12,19,49,5,2016,2021,24.35342466,29.35342466
1,0,1,10,0,0,0,89,0,40,18.18,0.0,8.9,4,0.0,0,0,0,0,1,4,1,5,5,1997,2008,22.89863014,33.89863014
0,1,1,69,0,4,7,1821,7,123,35.26,7.0,28.01,7,100.0,0,3,0,10,0,7,1,44,1,1997,2006,23.76164384,32.76164384
0,0,70,5,25,0,1175,24,57,16,24.68,26.11,4.8,1005,116.91,0,0,2,0,2,3,77,3,0,2017,2018,23.28767123,24.28767123
0,1,66,56,14,4,1209,2271,65,159,34.6,23.25,43.67,950,127.26,0,5,3,11,4,2,76,33,10,2018,2017,20.81917808,19.81917808
1,1,16,154,3,8,298,5842,59,291,42.67,22.92,40.01,286,104.19,0,15,2,31,1,12,18,87,5,2000,2007,20.098630139999997,27.098630139999997
1,0,35,19,10,1,711,575,65,143,30.62,28.44,31.94,599,118.69,0,3,3,0,0,5,38,13,8,2007,2008,22.23561644,23.23561644
1,1,7,27,1,1,96,573,40,70,33.75,16.0,22.03,103,93.2,0,0,0,4,1,1,7,15,5,2005,2006,27.0,28.0
1,0,2,20,0,1,14,365,12,45,25.0,7.0,19.21,15,93.33,0,0,0,0,0,2,3,14,1,2021,2021,26.06027397,26.06027397
1,1,49,43,2,4,682,1061,48,101,22.0,14.51,27.2,557,122.44,0,1,0,5,11,3,49,22,0,2011,2008,23.85753425,20.85753425
1,1,1,26,1,1,10,775,10,221,10.8,0.0,31.0,8,125.0,0,1,0,3,0,2,1,15,8,2002,2009,23.213698630000003,30.213698630000003
1,1,63,2,0,0,1657,51,100,46,37.61,26.3,25.5,1223,135.48,1,0,10,0,7,0,63,1,2,2024,2019,22.66849315,17.66849315
1,0,1,18,0,0,3,578,3,102,36.21,3.0,32.11,6,50.0,0,1,0,5,0,4,1,9,2,2018,2024,25.0630137,31.0630137
1,1,5,18,0,1,51,336,18,65,18.16,10.2,19.76,62,82.25,0,0,0,1,0,2,5,9,11,2008,2008,55.575342469999995,55.575342469999995
1,0,5,8,1,0,33,87,11,28,8.75,8.25,10.87,25,132.0,0,0,0,0,1,1,7,4,8,2022,2023,17.96164384,18.96164384
1,1,1,3,0,0,43,63,43,56,15.8,43.0,21.0,37,116.21,0,0,0,1,0,0,1,2,10,2010,2011,29.915068490000003,30.915068490000003
0,1,22,280,5,49,343,11867,41,203,41.6,20.17,51.37,347,98.84,0,30,0,66,0,15,22,164,5,1994,2006,19.953424660000003,31.953424660000003
0,1,66,58,3,1,1759,2315,92,190,44.11,27.92,40.61,1392,126.36,0,7,11,5,2,4,68,34,10,2013,2011,27.64931507,25.64931507
1,1,10,16,0,1,76,351,32,57,22.01,7.6,23.4,82,92.68,0,0,0,2,2,0,10,8,0,2003,2006,20.23835616,23.23835616
1,0,20,1,6,0,214,5,37,5,12.38,15.28,5.0,161,132.91,0,0,0,0,0,0,20,1,1,2011,2013,26.08767123,28.08767123
1,1,18,14,2,1,310,308,61,104,35.45,19.37,23.69,282,109.92,0,1,2,0,2,3,19,9,1,2017,2017,21.91506849,21.91506849
1,1,67,1,11,0,2424,8,117,8,25.76,43.28,8.0,1433,169.15,4,0,20,0,3,0,70,1,10,2023,2021,32.8739726,30.8739726
1,0,29,48,2,4,578,1586,66,170,32.48,21.4,36.04,483,119.66,0,5,1,6,0,5,31,29,7,2002,2005,27.05205479,30.05205479
1,0,8,6,4,0,79,92,35,44,0.0,19.75,15.33,37,213.51,0,0,0,0,2,2,18,3,7,2023,2019,31.56986301,27.56986301
0,1,80,29,8,2,1691,1109,66,151,38.06,23.48,41.07,1338,126.38,0,4,11,3,6,0,81,15,0,2013,2006,26.84109589,19.84109589
1,1,29,72,3,3,616,1726,82,147,50.26,23.69,25.01,463,133.04,0,2,3,5,3,2,31,38,5,2015,2017,21.71780822,23.71780822
0,1,15,68,1,2,255,2265,47,182,40.77,18.21,34.31,248,102.82,0,6,0,10,2,10,15,38,3,2011,2008,28.05479452,25.05479452
1,1,8,4,0,0,253,78,94,47,20.31,31.62,19.5,196,129.08,0,0,2,0,0,1,9,2,0,2017,2018,27.939726030000003,28.939726030000003
0,0,1,2,0,0,14,5,14,4,9.0,14.0,2.5,16,87.5,0,0,0,0,0,0,1,1,8,2014,2011,24.27671233,21.27671233
1,1,0,5,0,0,0,117,0,39,16.63,0.0,23.4,0,0.0,0,0,0,0,0,0,1,4,1,1999,2009,25.90684932,35.90684932
0,1,66,31,11,2,1605,768,101,120,35.31,29.18,26.48,1190,134.87,1,1,5,7,3,8,78,18,10,2010,2006,23.67123288,19.67123288
0,0,30,38,9,5,272,815,50,78,22.28,12.95,24.69,230,118.26,0,0,1,3,0,7,51,24,8,2018,2019,20.15342466,21.15342466
0,1,2,99,0,6,69,4188,39,157,35.78,34.5,45.03,47,146.8,0,10,0,25,0,4,3,56,3,2001,2005,25.939726030000003,29.939726030000003
0,1,48,30,4,0,902,838,81,93,32.23,20.5,27.93,763,118.21,0,0,5,5,3,0,57,16,5,2017,2018,20.59178082,21.59178082
0,0,23,7,8,2,155,40,30,22,11.0,10.33,8.0,138,112.31,0,0,0,0,2,1,51,6,5,2012,2012,24.175342469999997,24.175342469999997
1,1,55,195,11,25,1094,9685,90,239,43.91,24.86,56.97,872,125.45,0,32,5,41,1,10,67,109,3,2010,2010,21.15616438,21.15616438
1,0,14,9,2,0,189,151,67,42,32.13,15.75,16.77,173,109.24,0,0,1,0,2,2,18,6,8,2012,2011,27.6630137,26.6630137
1,1,1,329,0,33,10,15921,10,248,44.83,10.0,53.78,12,83.33,0,51,0,68,0,14,1,200,10,1989,2006,16.263013700000002,33.2630137
1,0,56,109,6,3,1462,3731,124,176,40.54,29.24,35.19,1006,145.32,1,4,10,24,3,6,58,59,3,2005,2006,24.11506849,25.11506849
1,1,47,24,11,2,1104,811,74,105,49.64,30.66,36.86,811,136.12,0,1,8,5,4,2,51,14,10,2021,2017,26.64657534,22.64657534
1,1,12,24,1,0,218,553,56,111,30.07,19.81,23.04,212,102.83,0,1,1,3,2,3,13,13,5,2019,2021,30.82739726,32.82739726
1,0,2,10,0,1,35,194,24,78,28.75,17.5,21.55,29,120.68,0,0,0,1,0,2,3,6,10,2014,2015,30.15342466,31.15342466
1,1,21,2,6,0,240,1,39,1,13.21,16.0,0.5,213,112.67,0,0,0,0,0,1,25,1,4,2019,2015,28.78082192,24.78082192
1,1,47,22,5,2,977,481,80,66,25.63,23.26,24.05,819,119.29,0,0,4,4,3,5,48,11,11,2016,2014,24.68493151,22.68493151
0,1,23,62,2,0,595,1889,74,122,36.82,28.33,30.46,551,107.98,0,3,3,10,1,6,24,33,9,2003,2007,18.810958900000003,22.810958900000003
1,1,42,95,12,14,818,3031,89,118,33.55,27.26,37.41,653,125.26,0,4,3,21,2,4,61,54,9,2010,2010,23.18630137,23.18630137
1,0,52,11,14,2,679,300,52,56,25.9,17.86,33.33,486,139.71,0,0,1,3,6,0,104,6,9,2017,2017,18.81917808,18.81917808
0,0,3,1,1,0,72,0,49,0,13.0,36.0,0.0,59,122.03,0,0,0,0,1,1,3,1,2,2021,2023,22.47671233,24.47671233
0,1,1,48,0,0,25,1267,25,138,31.44,25.0,26.39,17,147.05,0,1,0,7,0,4,1,24,11,2005,2006,20.24383562,21.24383562
0,0,127,123,17,7,2551,4505,84,217,37.29,23.19,38.83,2105,121.18,0,5,13,31,9,5,129,67,11,2007,2006,20.34794521,19.34794521
1,1,8,12,0,0,86,305,53,106,26.6,10.75,25.41,85,101.17,0,1,1,0,2,1,9,6,11,2014,2013,26.147945210000003,25.147945210000003
0,1,17,62,4,0,395,1778,65,156,18.11,30.38,28.67,324,121.91,0,4,3,9,2,8,19,33,9,2013,2022,23.79178082,32.79178082
0,1,18,2,0,0,406,44,59,40,32.48,22.55,22.0,305,133.11,0,0,2,0,0,0,21,1,9,2017,2013,27.95890411,23.95890411
1,1,20,46,2,4,539,1492,126,128,61.37,29.94,35.52,378,142.59,1,4,3,6,1,4,20,25,10,2020,2023,20.89041096,23.89041096
1,0,4,15,2,4,35,244,16,50,35.0,17.5,22.18,35,100.0,0,0,0,1,0,3,5,8,11,2014,2016,27.71506849,29.71506849
1,0,87,33,5,0,2037,1187,87,127,36.43,24.84,35.96,1528,133.31,0,1,14,8,7,3,91,17,0,2013,2013,27.2630137,27.2630137
0,0,84,30,4,0,1408,831,68,149,33.53,17.6,27.7,1147,122.75,0,1,5,4,13,2,85,16,11,2015,2015,22.42465753,22.42465753
1,1,35,97,4,12,670,2997,72,172,45.81,21.61,35.25,567,118.16,0,2,1,20,6,9,36,57,6,2014,2019,24.200000000000003,29.200000000000003
1,1,13,7,4,0,100,68,23,41,11.52,11.11,9.71,109,91.74,0,0,0,0,1,3,13,4,0,2013,2008,25.27671233,20.27671233
1,1,21,2,5,0,404,4,72,3,6.0,25.25,2.0,317,127.44,0,0,1,0,3,0,26,1,6,2024,2022,23.95890411,21.95890411
1,1,8,54,2,6,91,1756,30,138,29.55,15.16,36.58,94,96.8,0,4,0,10,0,4,9,32,7,2017,2017,26.90958904,26.90958904
0,0,19,9,3,0,275,298,42,68,22.43,17.18,33.11,208,132.21,0,0,0,2,4,1,22,5,1,2015,2015,29.65205479,29.65205479
1,0,0,1,0,0,0,1,0,1,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0,1,1,4,2024,2023,31.00821918,30.00821918
1,0,13,3,7,1,64,66,14,39,37.87,10.66,33.0,56,114.28,0,0,0,0,0,0,30,2,8,2017,2017,22.38082192,22.38082192
1,1,12,9,0,0,197,134,43,43,20.53,16.41,14.88,164,120.12,0,0,0,0,2,2,12,5,0,2017,2018,22.74520548,23.74520548
1,0,79,145,12,11,1889,5492,104,193,39.27,28.19,40.98,1567,120.54,1,16,13,23,10,14,80,87,1,1999,2006,22.79178082,29.79178082
1,1,2,11,1,0,68,343,37,95,25.33,68.0,31.18,69,98.55,0,0,0,3,0,0,2,6,5,2009,2009,32.42739726,32.42739726
0,1,32,81,4,5,911,3173,91,175,42.05,32.53,41.75,607,150.08,0,7,3,16,1,6,33,49,3,2018,2016,24.58356164,22.58356164
1,0,0,2,0,0,0,5,0,5,5.4,0.0,2.5,0,0.0,0,0,0,0,0,1,1,1,0,2014,2014,27.13972603,27.13972603
1,1,0,16,0,1,0,447,0,102,2.5,0.0,29.8,0,0.0,0,1,0,3,0,2,1,11,8,2008,2008,25.66027397,25.66027397
1,0,22,26,9,4,216,575,47,91,19.79,16.61,26.13,170,127.05,0,0,0,3,3,3,34,23,8,2009,2006,24.41643836,21.41643836
0,1,23,142,3,6,516,5418,65,264,35.03,25.8,39.83,474,108.86,0,13,3,28,1,11,26,80,7,2014,2012,22.32328767,20.32328767
0,1,9,131,0,12,241,5451,58,195,42.0,26.77,45.8,182,132.41,0,15,1,26,0,8,9,73,3,2011,2016,24.61369863,29.61369863
1,1,79,30,14,2,1690,1003,94,129,34.34,26.0,35.82,1377,122.73,0,1,8,6,10,1,84,16,9,2009,2009,19.175342469999997,19.175342469999997
0,1,9,8,0,0,142,99,47,33,18.06,15.77,12.37,123,115.44,0,0,0,0,3,1,14,4,9,2010,2013,20.786301369999997,23.786301369999997
1,1,117,191,31,11,4188,8848,122,254,58.67,48.69,49.15,3056,137.04,1,29,38,30,7,14,125,113,10,2011,2010,22.73150685,21.73150685
1,0,4,94,0,20,14,1779,6,74,12.58,3.5,24.04,28,50.0,0,0,0,8,0,8,7,64,6,2011,2007,26.095890410000003,22.095890410000003
1,0,62,3,7,0,1137,0,73,0,20.73,20.67,0.0,970,117.21,0,0,7,0,6,3,65,2,0,2021,2020,20.90136986,19.90136986
1,1,17,28,0,1,295,717,56,89,44.42,17.35,26.55,287,102.78,0,0,2,7,0,1,18,16,7,2020,2021,27.68493151,28.68493151
1,0,15,4,0,0,253,89,40,31,39.42,16.86,22.25,179,141.34,0,0,0,0,1,0,16,2,8,2022,2022,23.68767123,23.68767123
0,1,59,6,6,0,1079,58,72,32,30.58,20.35,9.66,971,111.12,0,0,3,0,5,1,61,3,4,2018,2008,33.89589041,23.89589041
0,1,5,80,1,1,30,2608,14,213,28.51,7.5,33.01,41,73.17,0,5,0,14,1,6,5,45,5,2000,2006,23.89315068,29.89315068
0,0,17,6,6,2,135,265,50,96,26.5,12.27,66.25,106,127.35,0,0,1,3,4,2,48,4,10,2021,2017,21.81643836,17.81643836
1,1,11,11,3,1,128,205,42,55,14.57,16.0,20.5,90,142.22,0,0,0,1,0,1,11,6,11,2021,2022,25.15342466,26.15342466
1,0,11,3,4,1,92,94,17,50,14.8,13.14,47.0,79,116.45,0,0,0,1,0,1,13,3,9,2007,2007,25.38082192,25.38082192
1,1,23,213,3,19,442,10099,51,313,31.24,22.1,52.05,364,121.42,0,34,2,33,2,19,25,118,9,2000,2006,22.66575342,28.66575342
1,1,4,14,0,0,11,455,10,100,1.0,2.75,32.5,19,57.89,0,1,0,4,2,0,4,7,11,2022,2018,49.66027397,45.66027397
1,0,12,2,3,0,117,14,40,14,11.27,13.0,7.0,91,128.57,0,0,0,0,3,1,14,1,11,2013,2012,26.65753425,25.65753425
1,1,3,2,0,0,23,88,17,88,24.0,7.66,44.0,30,76.66,0,0,0,1,0,1,3,1,9,2010,2007,24.265753420000003,21.265753420000003
