Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
1,1,1,2,0,0,1,56,1,35,1.0,6.0,28.0,7,14.28,0,0,0,0,0,0,1,1,8,2010,2015,27.02465753,32.02465753
1,0,51,15,15,2,975,416,84,108,27.08,14.44,32.0,1473,66.19,0,1,5,1,5,0,59,8,0,2008,2008,21.578082190000003,21.578082190000003
0,1,44,52,3,1,1365,1481,122,163,33.29,23.28,29.03,1674,81.54,3,5,8,3,5,7,45,27,0,2018,2017,19.92876712,18.92876712
1,0,52,32,8,2,1281,1044,100,100,29.11,18.5,34.8,1605,79.81,1,1,6,6,4,2,65,19,0,2011,2011,19.6630137,19.6630137
0,1,48,4,3,0,1418,51,112,46,31.51,21.35,12.75,1881,75.38,3,0,8,0,5,1,48,2,9,2008,2013,18.64657534,23.64657534
1,1,11,6,0,0,147,125,47,78,13.36,25.42,20.83,237,62.02,0,0,0,1,0,2,11,3,0,2008,2011,22.82739726,25.82739726
1,1,50,4,1,0,1216,117,114,47,24.81,27.13,29.25,1923,63.23,1,0,7,0,4,0,51,2,4,2009,2024,21.05205479,36.05205479
1,1,5,21,3,1,165,440,45,64,82.5,16.48,22.0,174,94.82,0,0,0,3,0,5,7,11,0,2016,2017,22.68767123,23.68767123
1,1,66,10,6,0,1834,269,107,88,30.56,24.78,26.9,2331,78.67,1,0,12,2,6,0,71,6,10,2001,2006,22.76986301,27.76986301
1,1,55,15,5,1,2225,537,210,103,44.5,28.4,38.35,2446,90.96,6,1,13,5,4,0,55,9,2,2021,2021,23.19726027,23.19726027
0,1,34,38,3,8,736,934,95,71,23.74,18.0,31.13,962,76.5,0,0,4,6,2,4,38,25,8,2003,2002,18.3890411,17.3890411
1,1,46,39,5,1,1334,967,112,136,32.53,11.54,25.44,1833,72.77,1,2,8,5,2,3,49,23,5,2004,2006,25.49041096,27.49041096
0,0,7,5,1,1,127,428,57,164,21.16,21.46,107.0,214,59.34,0,2,1,2,0,0,7,3,2,2019,2022,20.83013699,23.83013699
0,1,24,49,1,2,826,1535,138,160,35.91,6.0,32.65,1100,75.09,2,3,4,7,1,6,25,26,7,2013,2009,24.67,20.67
1,1,7,4,0,0,193,61,69,42,27.57,11.0,15.25,238,81.09,0,0,1,0,0,0,8,2,5,2010,2010,31.76164384,31.76164384
0,0,12,3,5,0,38,6,13,4,5.42,0.0,2.0,58,65.51,0,0,0,0,1,0,25,3,8,2007,2006,18.59726027,17.59726027
1,1,6,9,0,1,189,339,49,134,31.5,0.0,42.37,166,113.85,0,1,0,2,0,1,6,5,8,2020,2018,20.72054795,18.72054795
1,0,154,14,3,0,5700,351,177,103,37.74,27.07,25.07,6534,87.23,14,1,29,1,13,1,161,7,1,2008,2018,17.904109589999997,27.904109589999997
1,1,20,35,1,6,632,1079,117,110,33.26,33.0,37.2,649,97.38,1,2,4,5,2,2,22,20,7,2017,2016,26.25753425,25.25753425
1,0,46,7,7,0,895,196,80,59,22.94,14.29,28.0,806,111.04,0,0,4,1,3,0,54,4,2,2017,2020,20.0,23.0
1,0,12,21,4,0,82,326,19,42,10.25,19.2,15.52,104,78.84,0,0,0,0,1,2,15,12,6,2017,2019,19.44109589,21.44109589
0,1,155,91,7,6,6770,3300,178,141,45.74,31.51,38.82,7005,96.64,21,6,30,22,4,7,155,54,6,2013,2014,20.61643836,21.61643836
1,0,63,141,20,15,707,3309,65,124,16.44,26.28,26.26,813,86.96,0,5,1,14,6,8,116,100,8,2010,2011,23.865753419999997,24.865753419999997
0,0,41,3,15,1,485,47,71,33,18.65,9.0,23.5,680,71.32,0,0,1,0,3,0,54,2,6,2009,2010,26.46849315,27.46849315
1,1,34,12,2,1,618,217,74,43,19.31,17.22,19.72,847,72.96,0,0,3,0,4,1,36,6,3,2014,2013,25.13150685,24.13150685
0,0,21,14,1,1,820,519,123,240,41.0,15.4,39.92,759,108.03,3,1,3,2,2,1,25,7,5,2023,2021,23.69589041,21.69589041
0,0,132,105,47,21,2756,3036,87,175,32.42,21.45,36.14,3240,85.06,0,4,13,20,6,7,197,72,8,2009,2012,20.64657534,23.64657534
0,0,5,14,0,1,51,298,27,62,10.2,23.0,22.92,101,50.49,0,0,0,3,1,1,6,8,11,2019,2017,28.21643836,26.21643836
0,1,2,8,0,1,17,165,14,42,8.5,14.33,23.57,26,65.38,0,0,0,0,0,0,2,4,6,2023,2022,27.04931507,26.04931507
1,1,254,101,36,10,10709,4137,264,212,49.12,32.05,45.46,11644,91.97,31,12,55,17,16,5,262,59,8,2007,2013,20.24657534,26.24657534
1,1,21,4,2,0,586,28,146,19,30.84,17.21,7.0,776,75.51,2,0,2,0,2,0,22,2,5,2011,2012,28.16986301,29.16986301
1,0,34,90,4,4,783,2265,94,137,26.1,33.77,26.33,1044,75.0,0,5,4,11,3,12,45,49,11,2017,2016,25.35342466,24.35342466
1,0,21,10,5,0,291,89,49,40,18.18,0.0,8.9,367,79.29,0,0,0,0,1,4,28,5,11,1997,1997,22.89863014,22.89863014
0,1,155,69,43,4,3950,1821,103,123,35.26,7.0,28.01,5443,72.57,1,3,28,10,7,7,180,44,2,1997,1997,23.76164384,23.76164384
0,0,44,5,6,0,938,24,83,16,24.68,26.11,4.8,1179,79.55,0,0,6,0,2,3,52,3,3,2017,2017,23.28767123,23.28767123
0,1,26,56,1,4,865,2271,125,159,34.6,23.25,43.67,811,106.65,1,5,5,11,3,2,30,33,8,2018,2018,20.81917808,20.81917808
1,1,169,154,33,8,5804,5842,120,291,42.67,22.92,40.01,7663,75.74,5,15,38,31,8,12,181,87,11,2000,2000,20.098630139999997,20.098630139999997
1,0,109,19,21,1,2695,575,101,143,30.62,28.44,31.94,3462,77.84,1,3,14,0,4,5,120,13,10,2007,2007,22.23561644,22.23561644
1,1,51,27,6,1,1519,573,110,70,33.75,16.0,22.03,2289,66.36,2,0,10,4,7,1,56,15,11,2002,2005,24.0,27.0
1,0,4,20,2,1,50,365,26,45,25.0,7.0,19.21,50,100.0,0,0,0,0,0,2,4,14,2,2021,2021,26.06027397,26.06027397
1,1,57,43,3,4,1188,1061,102,101,22.0,14.51,27.2,1751,67.84,1,1,4,5,3,3,61,22,3,2008,2011,20.85753425,23.85753425
1,1,5,26,0,1,54,775,19,221,10.8,0.0,31.0,135,40.0,0,1,0,3,1,2,5,15,10,2003,2002,24.213698630000003,23.213698630000003
1,1,40,2,1,0,1467,51,151,46,37.61,26.3,25.5,1657,88.53,6,0,5,0,1,0,40,1,4,2021,2024,19.66849315,22.66849315
1,0,107,18,4,0,3730,578,114,102,36.21,3.0,32.11,5220,71.45,5,1,28,5,5,4,111,9,4,2013,2018,20.0630137,25.0630137
1,1,56,18,7,1,1325,336,89,65,18.16,10.2,19.76,2198,43.735,0,0,8,1,6,2,2,9,0,2008,2008,55.575342469999995,55.575342469999995
1,0,4,8,0,0,35,87,15,28,8.75,8.25,10.87,46,76.08,0,0,0,0,0,1,6,4,10,2023,2022,18.96164384,17.96164384
1,1,6,3,1,0,79,63,27,56,15.8,43.0,21.0,172,45.93,0,0,0,1,0,0,7,2,8,2008,2010,27.915068490000003,29.915068490000003
0,1,251,280,40,49,8778,11867,150,203,41.6,20.17,51.37,12408,70.74,11,30,59,66,6,15,268,164,11,1994,1994,19.953424660000003,19.953424660000003
0,1,164,58,10,1,6793,2315,143,190,44.11,27.92,40.61,7436,91.35,17,7,39,5,5,4,167,34,8,2010,2013,24.64931507,27.64931507
1,1,110,16,9,1,2224,351,90,57,22.01,7.6,23.4,3072,72.39,0,0,13,2,8,0,113,8,3,2002,2003,19.23835616,20.23835616
1,0,37,1,3,0,421,5,95,5,12.38,15.28,5.0,445,94.6,0,0,2,0,7,0,40,1,2,2011,2011,26.08767123,26.08767123
1,1,38,14,5,1,1170,308,108,104,35.45,19.37,23.69,1223,95.66,1,1,8,0,4,3,41,9,2,2017,2017,21.91506849,21.91506849
1,1,35,1,5,0,773,8,72,8,25.76,43.28,8.0,736,105.02,0,0,4,0,3,0,37,1,8,2021,2023,30.8739726,32.8739726
1,0,161,48,23,4,4483,1586,141,170,32.48,21.4,36.04,5645,79.41,4,5,28,6,9,5,188,29,5,1999,2002,24.05205479,27.05205479
1,0,1,6,1,0,11,92,11,44,0.0,19.75,15.33,6,183.33,0,0,0,0,0,2,2,3,5,2017,2023,25.56986301,31.56986301
0,1,151,29,20,2,4986,1109,174,151,38.06,23.48,41.07,5751,86.69,8,4,35,3,8,0,156,15,3,2005,2013,18.84109589,26.84109589
1,1,119,72,16,3,5177,1726,170,147,50.26,23.69,25.01,6673,77.58,16,2,25,5,5,2,124,38,11,2016,2015,22.71780822,21.71780822
0,1,72,68,4,2,2773,2265,151,182,40.77,18.21,34.31,3406,81.41,7,6,15,10,3,10,73,38,7,2008,2011,25.05479452,28.05479452
1,1,47,4,0,0,955,78,112,47,20.31,31.62,19.5,1190,80.25,1,0,3,0,4,1,47,2,3,2014,2017,24.939726030000003,27.939726030000003
0,0,2,2,0,0,18,5,15,4,9.0,14.0,2.5,16,112.5,0,0,0,0,0,0,2,1,10,2011,2014,21.27671233,24.27671233
1,1,13,5,2,0,183,117,38,39,16.63,0.0,23.4,270,67.77,0,0,0,0,0,0,15,4,2,1999,1999,25.90684932,25.90684932
0,1,194,31,35,2,5615,768,116,120,35.31,29.18,26.48,6005,93.5,5,1,36,7,14,8,226,18,8,2005,2010,18.67123288,23.67123288
0,0,24,38,3,5,468,815,95,78,22.28,12.95,24.69,489,95.7,0,0,1,3,1,7,32,24,10,2018,2018,20.15342466,20.15342466
0,1,42,99,5,6,1324,4188,107,157,35.78,34.5,45.03,1926,68.74,1,10,9,25,3,4,45,56,7,2001,2001,25.939726030000003,25.939726030000003
0,1,50,30,3,0,1515,838,139,93,32.23,20.5,27.93,1449,104.55,5,0,4,5,3,0,53,16,11,2017,2017,20.59178082,20.59178082
0,0,45,7,12,2,363,40,36,22,11.0,10.33,8.0,441,82.31,0,0,0,0,8,1,65,6,11,2011,2012,23.175342469999997,24.175342469999997
1,1,142,195,18,25,5446,9685,164,239,43.91,24.86,56.97,6230,87.41,12,32,33,41,8,10,158,109,7,2010,2010,21.15616438,21.15616438
1,0,22,9,7,0,482,151,70,42,32.13,15.75,16.77,517,93.23,0,0,1,0,1,2,36,6,10,2008,2012,23.6630137,27.6630137
1,1,452,329,41,33,18426,15921,200,248,44.83,10.0,53.78,21368,86.23,49,51,96,68,20,14,463,200,8,1989,1989,16.263013700000002,16.263013700000002
1,0,169,109,27,3,5757,3731,185,176,40.54,29.24,35.19,6365,90.44,9,4,33,24,12,6,190,59,7,2002,2005,21.11506849,24.11506849
1,1,54,24,6,2,2383,811,128,105,49.64,30.66,36.86,2353,101.27,5,1,18,5,1,2,59,14,8,2017,2021,22.64657534,26.64657534
1,1,29,24,1,0,842,553,101,111,30.07,19.81,23.04,1114,75.58,1,1,4,3,5,3,29,13,11,2022,2019,33.82739726,30.82739726
1,0,11,10,3,1,230,194,77,78,28.75,17.5,21.55,246,93.49,0,0,1,1,1,2,14,6,8,2014,2014,30.15342466,30.15342466
1,1,19,2,5,0,185,1,36,1,13.21,16.0,0.5,278,66.54,0,0,0,0,2,1,21,1,1,2014,2019,23.78082192,28.78082192
1,1,59,22,7,2,1333,481,102,66,25.63,23.26,24.05,1461,91.23,1,0,6,4,5,5,66,11,0,2014,2016,22.68493151,24.68493151
0,1,78,62,4,0,2725,1889,136,122,36.82,28.33,30.46,3572,76.28,8,3,14,10,15,6,78,33,9,2004,2003,19.810958900000003,18.810958900000003
1,1,91,95,22,14,2315,3031,105,118,33.55,27.26,37.41,2635,87.85,2,4,11,21,1,4,117,54,9,2007,2010,20.18630137,23.18630137
1,0,44,11,11,2,855,300,86,56,25.9,17.86,33.33,997,85.75,0,0,4,3,3,0,70,6,9,2017,2017,18.81917808,18.81917808
0,0,3,1,0,0,39,0,37,0,13.0,36.0,0.0,71,54.92,0,0,0,0,0,1,3,1,4,2022,2021,23.47671233,22.47671233
0,1,75,48,5,0,2201,1267,123,138,31.44,25.0,26.39,3167,69.49,4,1,13,7,11,4,75,24,0,2005,2005,20.24383562,20.24383562
0,0,234,123,31,7,7570,4505,134,217,37.29,23.19,38.83,9138,82.84,9,5,56,31,12,5,247,67,0,2006,2007,19.34794521,20.34794521
1,1,10,12,0,0,266,305,96,106,26.6,10.75,25.41,350,76.0,0,1,2,0,2,1,10,6,0,2013,2014,25.147945210000003,26.147945210000003
0,1,9,62,0,0,163,1778,50,156,18.11,30.38,28.67,234,69.65,0,4,1,9,2,8,9,33,9,2019,2013,29.79178082,23.79178082
0,1,25,2,0,0,812,44,152,40,32.48,22.55,22.0,716,113.4,1,0,6,0,2,0,25,1,9,2013,2017,23.95890411,27.95890411
1,1,44,46,7,4,2271,1492,208,128,61.37,29.94,35.52,2195,103.46,6,4,13,6,1,4,44,25,8,2019,2020,19.89041096,20.89041096
1,0,3,15,1,4,70,244,35,50,35.0,17.5,22.18,86,81.39,0,0,0,1,0,3,4,8,0,2011,2014,24.71506849,27.71506849
1,0,134,33,20,0,4154,1187,141,127,36.43,24.84,35.96,4806,86.43,7,1,21,8,3,3,142,17,3,2013,2013,27.2630137,27.2630137
0,0,64,30,4,0,2012,831,169,149,33.53,17.6,27.7,2064,97.48,3,1,12,4,8,2,69,16,0,2014,2015,21.42465753,22.42465753
1,1,37,97,4,12,1512,2997,144,172,45.81,21.61,35.25,1698,89.04,5,2,4,20,2,9,38,57,6,2016,2014,26.200000000000003,24.200000000000003
1,1,18,7,1,0,196,68,35,41,11.52,11.11,9.71,330,59.39,0,0,0,0,1,3,22,4,3,2007,2013,19.27671233,25.27671233
1,1,1,2,0,0,6,4,6,3,6.0,25.25,2.0,10,60.0,0,0,0,0,0,0,1,1,6,2023,2024,22.95890411,23.95890411
1,1,12,54,3,6,266,1756,68,138,29.55,15.16,36.58,307,86.64,0,4,2,10,0,4,12,32,5,2020,2017,29.90958904,26.90958904
0,0,24,9,1,0,516,298,66,68,22.43,17.18,33.11,525,98.28,0,0,3,2,1,1,27,5,2,2015,2015,29.65205479,29.65205479
1,0,2,1,2,0,4,1,2,1,0.0,0.0,1.0,8,50.0,0,0,0,0,0,0,4,1,1,2023,2024,30.00821918,31.00821918
1,0,17,3,9,1,303,66,47,39,37.87,10.66,33.0,321,94.39,0,0,0,0,2,0,28,2,10,2017,2017,22.38082192,22.38082192
1,1,16,9,1,0,308,134,60,43,20.53,16.41,14.88,387,79.58,0,0,1,0,1,2,16,5,3,2016,2017,21.74520548,22.74520548
1,0,303,145,41,11,10290,5492,161,193,39.27,28.19,40.98,11933,86.23,22,16,47,23,11,14,330,87,2,1999,1999,22.79178082,22.79178082
1,1,11,11,2,0,228,343,100,95,25.33,68.0,31.18,348,65.51,1,0,1,3,2,0,11,6,11,2009,2009,32.42739726,32.42739726
0,1,62,81,5,5,2397,3173,152,175,42.05,32.53,41.75,2337,102.56,5,7,16,16,3,6,65,49,7,2016,2018,22.58356164,24.58356164
1,0,11,2,6,0,27,5,12,5,5.4,0.0,2.5,55,49.09,0,0,0,0,2,1,14,1,3,2006,2014,19.13972603,27.13972603
1,1,5,16,1,1,10,447,6,102,2.5,0.0,29.8,34,29.41,0,1,0,3,1,2,5,11,10,2008,2008,25.66027397,25.66027397
1,0,64,26,20,4,871,575,80,91,19.79,16.61,26.13,965,90.25,0,0,1,3,6,3,85,23,10,2006,2009,21.41643836,24.41643836
0,1,134,142,17,6,4099,5418,145,264,35.03,25.8,39.83,4782,85.71,7,13,24,28,11,11,147,80,5,2012,2014,20.32328767,22.32328767
0,1,39,131,2,12,1554,5451,104,195,42.0,26.77,45.8,1848,84.09,2,15,12,26,2,8,40,73,7,2013,2011,26.61369863,24.61369863
1,1,110,30,17,2,3194,1003,102,129,34.34,26.0,35.82,3712,86.04,2,1,20,6,8,1,121,16,9,2009,2009,19.175342469999997,19.175342469999997
0,1,16,8,1,0,271,99,59,33,18.06,15.77,12.37,392,69.13,0,0,1,0,0,1,16,4,9,2010,2010,20.786301369999997,20.786301369999997
1,1,280,191,44,11,13848,8848,183,254,58.67,48.69,49.15,14797,93.58,50,29,72,30,16,14,292,113,8,2008,2011,19.73150685,22.73150685
1,0,19,94,7,20,151,1779,30,74,12.58,3.5,24.04,213,70.89,0,0,0,8,3,8,30,64,6,2007,2011,22.095890410000003,26.095890410000003
1,0,34,3,0,0,705,0,72,0,20.73,20.67,0.0,919,76.71,0,0,5,0,1,3,36,2,3,2020,2021,19.90136986,20.90136986
1,1,31,28,3,1,1244,717,120,89,44.42,17.35,26.55,1415,87.91,3,0,8,7,3,1,31,16,5,2021,2020,28.68493151,27.68493151
1,0,7,4,0,0,276,89,94,31,39.42,16.86,22.25,260,106.15,0,0,2,0,0,0,7,2,10,2023,2022,24.68767123,23.68767123
0,1,145,6,3,0,4343,58,139,32,30.58,20.35,9.66,6298,68.95,11,0,20,0,12,1,148,3,1,2006,2018,21.89589041,33.89589041
0,1,111,80,10,1,2880,2608,127,213,28.51,7.5,33.01,4393,65.55,5,5,14,14,8,6,119,45,11,1999,2000,22.89315068,23.89315068
0,0,11,6,1,2,265,265,51,96,26.5,12.27,66.25,311,85.2,0,0,1,3,0,2,19,4,8,2017,2021,17.81643836,21.81643836
1,1,7,11,0,1,102,205,50,55,14.57,16.0,20.5,114,89.47,0,0,1,1,1,1,9,6,0,2022,2021,26.15342466,25.15342466
1,0,8,3,3,1,74,94,27,50,14.8,13.14,47.0,110,67.27,0,0,0,1,0,1,11,3,9,2000,2007,18.38082192,25.38082192
1,1,255,213,23,19,7249,10099,144,313,31.24,22.1,52.05,9628,75.29,7,34,48,33,22,19,265,118,9,2000,2000,22.66575342,22.66575342
1,1,1,14,0,0,1,455,1,100,1.0,2.75,32.5,5,20.0,0,1,0,4,0,0,1,7,0,2023,2022,50.66027397,49.66027397
1,0,11,2,0,0,124,14,41,14,11.27,13.0,7.0,110,112.72,0,0,0,0,3,1,13,1,0,2013,2013,26.65753425,26.65753425
1,1,4,2,2,0,48,88,19,88,24.0,7.66,44.0,68,70.58,0,0,0,1,0,1,4,1,9,2010,2010,24.265753420000003,24.265753420000003
